# size 1170
1 2 3 4 5 6 7 8 9
7 18 26 28 39 47 58 69 77
8 16 27 29 37 48 59 67 78
9 17 25 30 38 46 60 68 76
1 12 20 32 40 51 63 71 79
2 10 21 33 41 49 61 72 80
3 11 19 31 42 50 62 70 81
4 15 23 35 43 54 57 65 73
5 13 24 36 44 52 55 66 74
6 14 22 34 45 53 56 64 75
7 18 26 29 37 48 60 68 76
8 16 27 30 38 46 58 69 77
9 17 25 28 39 47 59 67 78
1 12 20 33 41 49 62 70 81
2 10 21 31 42 50 63 71 79
3 11 19 32 40 51 61 72 80
4 15 23 36 44 52 56 64 75
5 13 24 34 45 53 57 65 73
6 14 22 35 43 54 55 66 74
7 18 26 30 38 46 59 67 78
8 16 27 28 39 47 60 68 76
9 17 25 29 37 48 58 69 77
1 12 20 34 45 53 58 69 77
2 10 21 35 43 54 59 67 78
3 11 19 36 44 52 60 68 76
4 15 23 28 39 47 61 72 80
5 13 24 29 37 48 62 70 81
6 14 22 30 38 46 63 71 79
7 18 26 31 42 50 55 66 74
8 16 27 32 40 51 56 64 75
9 17 25 33 41 49 57 65 73
1 12 20 35 43 54 60 68 76
2 10 21 36 44 52 58 69 77
3 11 19 34 45 53 59 67 78
4 15 23 29 37 48 63 71 79
5 13 24 30 38 46 61 72 80
6 14 22 28 39 47 62 70 81
7 18 26 32 40 51 57 65 73
8 16 27 33 41 49 55 66 74
9 17 25 31 42 50 56 64 75
1 12 20 36 44 52 59 67 78
2 10 21 34 45 53 60 68 76
3 11 19 35 43 54 58 69 77
4 15 23 30 38 46 62 70 81
5 13 24 28 39 47 63 71 79
6 14 22 29 37 48 61 72 80
7 18 26 33 41 49 56 64 75
8 16 27 31 42 50 57 65 73
9 17 25 32 40 51 55 66 74
1 13 25 28 40 52 55 67 79
2 14 26 29 41 53 56 68 80
3 15 27 30 42 54 57 69 81
4 16 19 31 43 46 58 70 73
5 17 20 32 44 47 59 71 74
6 18 21 33 45 48 60 72 75
7 10 22 34 37 49 61 64 76
8 11 23 35 38 50 62 65 77
9 12 24 36 39 51 63 66 78
1 13 25 29 41 53 57 69 81
2 14 26 30 42 54 55 67 79
3 15 27 28 40 52 56 68 80
4 16 19 32 44 47 60 72 75
5 17 20 33 45 48 58 70 73
6 18 21 31 43 46 59 71 74
7 10 22 35 38 50 63 66 78
8 11 23 36 39 51 61 64 76
9 12 24 34 37 49 62 65 77
1 13 25 30 42 54 56 68 80
2 14 26 28 40 52 57 69 81
3 15 27 29 41 53 55 67 79
4 16 19 33 45 48 59 71 74
5 17 20 31 43 46 60 72 75
6 18 21 32 44 47 58 70 73
7 10 22 36 39 51 62 65 77
8 11 23 34 37 49 63 66 78
9 12 24 35 38 50 61 64 76
1 13 25 31 43 46 61 64 76
2 14 26 32 44 47 62 65 77
3 15 27 33 45 48 63 66 78
4 16 19 34 37 49 55 67 79
5 17 20 35 38 50 56 68 80
6 18 21 36 39 51 57 69 81
7 10 22 28 40 52 58 70 73
8 11 23 29 41 53 59 71 74
9 12 24 30 42 54 60 72 75
1 13 25 32 44 47 63 66 78
2 14 26 33 45 48 61 64 76
3 15 27 31 43 46 62 65 77
4 16 19 35 38 50 57 69 81
5 17 20 36 39 51 55 67 79
6 18 21 34 37 49 56 68 80
7 10 22 29 41 53 60 72 75
8 11 23 30 42 54 58 70 73
9 12 24 28 40 52 59 71 74
1 13 25 33 45 48 62 65 77
2 14 26 31 43 46 63 66 78
3 15 27 32 44 47 61 64 76
4 16 19 36 39 51 56 68 80
5 17 20 34 37 49 57 69 81
6 18 21 35 38 50 55 67 79
7 10 22 30 42 54 59 71 74
8 11 23 28 40 52 60 72 75
9 12 24 29 41 53 58 70 73
1 13 25 34 37 49 58 70 73
2 14 26 35 38 50 59 71 74
3 15 27 36 39 51 60 72 75
4 16 19 28 40 52 61 64 76
5 17 20 29 41 53 62 65 77
6 18 21 30 42 54 63 66 78
7 10 22 31 43 46 55 67 79
8 11 23 32 44 47 56 68 80
9 12 24 33 45 48 57 69 81
1 13 25 35 38 50 60 72 75
2 14 26 36 39 51 58 70 73
3 15 27 34 37 49 59 71 74
4 16 19 29 41 53 63 66 78
5 17 20 30 42 54 61 64 76
6 18 21 28 40 52 62 65 77
7 10 22 32 44 47 57 69 81
8 11 23 33 45 48 55 67 79
9 12 24 31 43 46 56 68 80
1 13 25 36 39 51 59 71 74
2 14 26 34 37 49 60 72 75
3 15 27 35 38 50 58 70 73
4 16 19 30 42 54 62 65 77
5 17 20 28 40 52 63 66 78
6 18 21 29 41 53 61 64 76
7 10 22 33 45 48 56 68 80
8 11 23 31 43 46 57 69 81
9 12 24 32 44 47 55 67 79
1 14 27 28 41 54 55 68 81
2 15 25 29 42 52 56 69 79
3 13 26 30 40 53 57 67 80
4 17 21 31 44 48 58 71 75
5 18 19 32 45 46 59 72 73
6 16 20 33 43 47 60 70 74
7 11 24 34 38 51 61 65 78
